Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,7.886802,7.905625,7.867979,7.886802,2.622974,33868
1982-01-04,7.867979,7.886802,7.849156,7.849156,2.610452,65080
1982-01-05,7.867979,7.886802,7.849156,7.849156,2.610452,318096
1982-01-06,7.660927,7.811510,7.491521,7.585635,2.522811,369231
1982-01-07,7.397406,7.453875,7.322115,7.453875,2.478992,151411
1982-01-08,7.604458,7.755042,7.453875,7.717396,2.566633,305479
1982-01-11,7.303292,7.679750,6.908010,6.908010,2.297449,687327
1982-01-12,6.851542,6.926833,6.757427,6.757427,2.247368,238406
1982-01-13,6.569198,6.700958,6.437438,6.437438,2.140948,478141
1982-01-14,6.512729,6.550375,6.475083,6.475083,2.153468,130160
1982-01-15,6.588021,6.663313,6.512729,6.663313,2.216068,564471
1982-01-18,6.569198,6.606844,6.512729,6.531552,2.172249,813503
1982-01-19,6.550375,6.588021,6.493906,6.550375,2.178507,345324
1982-01-20,6.644490,6.757427,6.531552,6.719781,2.234849,763033
1982-01-21,6.870365,6.945656,6.776250,6.926833,2.303710,56447
1982-01-22,7.039771,7.115063,6.964479,7.115063,2.366311,82346
1982-01-25,7.265646,7.303292,7.228000,7.265646,2.416392,70393
1982-01-26,7.322115,7.378583,7.265646,7.322115,2.435171,292861
1982-01-27,7.322115,7.322115,7.303292,7.322115,2.435171,95628
1982-01-28,7.322115,7.340938,7.303292,7.340938,2.441431,67072
1982-01-29,7.397406,7.453875,7.322115,7.397406,2.460212,115551
1982-02-01,7.453875,7.529167,7.378583,7.453875,2.478992,320753
1982-02-02,7.491521,7.566813,7.416229,7.566813,2.516552,79690
1982-02-03,7.698573,7.980917,7.416229,7.491521,2.491512,929718
1982-02-04,7.491521,7.604458,7.378583,7.435052,2.472731,195241
1982-02-05,7.491521,7.566813,7.397406,7.529167,2.504031,132817
1982-02-08,7.435052,7.529167,7.322115,7.322115,2.435171,71057
1982-02-09,7.228000,7.303292,7.133885,7.171531,2.385090,156724
1982-02-10,7.020948,7.115063,6.926833,6.926833,2.303710,39181
1982-02-11,6.889188,6.926833,6.851542,6.908010,2.297449,61096
1982-02-12,6.870365,6.908010,6.813896,6.813896,2.266149,51134
1982-02-16,6.870365,6.964479,6.776250,6.964479,2.316229,71057
1982-02-17,7.039771,7.058594,7.002125,7.002125,2.328749,35196
1982-02-18,7.058594,7.133885,6.983302,7.115063,2.366311,161372
1982-02-19,7.096240,7.115063,7.077417,7.096240,2.360050,94300
1982-02-22,7.039771,7.152708,6.926833,6.926833,2.303710,146763
1982-02-23,6.851542,6.889188,6.813896,6.832719,2.294859,71721
1982-02-24,6.870365,6.908010,6.832719,6.851542,2.301181,67737
1982-02-25,6.908010,6.926833,6.870365,6.889188,2.313825,71057
1982-02-26,6.889188,6.889188,6.889188,6.889188,2.313825,4649
1982-03-01,6.889188,6.889188,6.889188,6.889188,2.313825,17930
1982-03-02,6.908010,6.926833,6.889188,6.889188,2.313825,19258
1982-03-03,6.945656,7.002125,6.889188,6.945656,2.332790,108910
1982-03-04,6.945656,6.964479,6.926833,6.945656,2.332790,182623
1982-03-05,6.945656,6.964479,6.926833,6.926833,2.326468,102269
1982-03-08,6.813896,6.964479,6.663313,6.663313,2.237962,222468
1982-03-09,6.418615,6.569198,6.249208,6.437438,2.162098,230437
1982-03-10,6.475083,6.512729,6.437438,6.475083,2.174742,183287
1982-03-11,6.362146,6.512729,6.192740,6.192740,2.079912,389817
1982-03-12,6.004510,6.098625,5.910396,5.985688,2.010373,312120
1982-03-15,5.985688,6.004510,5.948042,5.985688,2.010373,303486
1982-03-16,5.985688,6.004510,5.966865,5.985688,2.010373,309463
1982-03-17,6.023333,6.042156,5.985688,6.042156,2.029339,250360
1982-03-18,6.192740,6.249208,6.117448,6.249208,2.098879,261649
1982-03-19,6.362146,6.380969,6.324500,6.380969,2.143132,87659
1982-03-22,6.531552,6.569198,6.475083,6.569198,2.206353,29220
1982-03-23,6.663313,6.776250,6.550375,6.776250,2.275892,102933
1982-03-24,6.795073,6.813896,6.776250,6.813896,2.288538,34532
1982-03-25,6.908010,7.002125,6.813896,6.926833,2.326468,110238
1982-03-26,6.945656,7.002125,6.889188,6.964479,2.339113,115551
1982-03-29,6.983302,7.002125,6.964479,7.002125,2.351755,117543
1982-03-30,7.058594,7.077417,7.020948,7.077417,2.377044,33204
1982-03-31,7.058594,7.115063,7.002125,7.002125,2.351755,141450
1982-04-01,6.964479,7.002125,6.926833,6.945656,2.332790,140122
1982-04-02,7.096240,7.228000,6.945656,7.152708,2.402332,624903
1982-04-05,6.945656,7.115063,6.776250,6.795073,2.282214,454234
1982-04-06,6.832719,6.851542,6.795073,6.851542,2.301181,154068
1982-04-07,6.889188,6.926833,6.851542,6.870365,2.307503,238406
1982-04-08,6.870365,6.889188,6.851542,6.870365,2.307503,75042
1982-04-12,7.058594,7.152708,6.964479,7.115063,2.389687,253016
1982-04-13,7.435052,7.529167,7.340938,7.340938,2.465551,272274
1982-04-14,7.322115,7.359760,7.265646,7.303292,2.452906,118207
1982-04-15,7.303292,7.340938,7.265646,7.303292,2.452906,164693
1982-04-16,7.322115,7.359760,7.265646,7.303292,2.452906,178639
1982-04-19,7.322115,7.340938,7.303292,7.303292,2.452906,27892
1982-04-20,7.284469,7.303292,7.265646,7.284469,2.446587,65744
1982-04-21,7.209177,7.228000,7.171531,7.209177,2.421297,67072
1982-04-22,7.209177,7.265646,7.152708,7.228000,2.427619,278251
1982-04-23,7.265646,7.284469,7.228000,7.246823,2.433940,74377
1982-04-26,7.322115,7.416229,7.228000,7.416229,2.490839,79690
1982-04-27,7.416229,7.453875,7.378583,7.378583,2.478194,58439
1982-04-28,7.359760,7.397406,7.322115,7.322115,2.459229,136801
1982-04-29,7.303292,7.322115,7.265646,7.284469,2.446587,56447
1982-04-30,7.284469,7.303292,7.246823,7.246823,2.433940,53127
1982-05-03,7.435052,7.642104,7.228000,7.566813,2.541414,479469
1982-05-04,7.736219,7.886802,7.585635,7.811510,2.623599,1107692
1982-05-05,8.037385,8.206792,7.849156,8.056208,2.705783,614278
1982-05-06,8.056208,8.169146,7.924448,7.924448,2.661530,935695
1982-05-07,7.962094,8.018563,7.886802,7.943271,2.667854,293525
1982-05-10,7.943271,7.980917,7.886802,7.886802,2.648887,405755
1982-05-11,7.849156,7.886802,7.811510,7.886802,2.648887,138129
1982-05-12,7.886802,8.112677,7.660927,7.679750,2.579346,77034
1982-05-13,7.660927,7.698573,7.623281,7.642104,2.566702,68401
1982-05-14,7.660927,7.679750,7.623281,7.660927,2.573024,189264
1982-05-17,7.660927,7.679750,7.623281,7.623281,2.560380,18594
1982-05-18,7.642104,7.679750,7.585635,7.679750,2.579346,35861
1982-05-19,7.736219,7.830333,7.642104,7.830333,2.629921,118207
1982-05-20,7.679750,7.830333,7.510344,7.566813,2.541414,237742
1982-05-21,7.585635,7.604458,7.566813,7.585635,2.547735,98949
1982-05-24,7.604458,7.642104,7.547990,7.547990,2.535093,326729
1982-05-25,7.585635,7.642104,7.529167,7.585635,2.570813,209186
1982-05-26,7.510344,7.529167,7.491521,7.510344,2.545297,154068
1982-05-27,7.547990,7.585635,7.491521,7.566813,2.564436,128168
1982-05-28,7.472698,7.529167,7.416229,7.453875,2.526161,159380
1982-06-01,7.378583,7.435052,7.303292,7.359760,2.494266,85003
1982-06-02,7.322115,7.359760,7.284469,7.340938,2.487886,103597
1982-06-03,7.284469,7.340938,7.228000,7.265646,2.462368,80354
1982-06-04,7.265646,7.416229,7.228000,7.416229,2.513404,118207
1982-06-07,7.397406,7.453875,7.340938,7.378583,2.500644,35196
1982-06-08,7.378583,7.416229,7.340938,7.340938,2.487886,39845
1982-06-09,7.284469,7.303292,7.246823,7.303292,2.475127,237742
1982-06-10,7.378583,7.453875,7.303292,7.303292,2.475127,480797
1982-06-11,7.547990,7.736219,7.340938,7.679750,2.602710,402435
1982-06-14,7.604458,7.679750,7.529167,7.547990,2.558056,111566
1982-06-15,7.623281,7.755042,7.491521,7.755042,2.628230,231765
1982-06-16,7.755042,7.867979,7.642104,7.867979,2.666504,483453
1982-06-17,7.792688,7.830333,7.755042,7.773865,2.634609,166685
1982-06-18,7.717396,7.736219,7.698573,7.698573,2.609091,77034
1982-06-21,7.717396,7.755042,7.660927,7.736219,2.621849,136137
1982-06-22,7.773865,7.830333,7.698573,7.773865,2.634609,273603
